"pfpr" "jdates"
"1" 0.298545073016861 151
"2" 0.328488886656842 181
"3" 0.338859965243267 212
"4" 0.364822323106408 243
"5" 0.418285502013936 273
"6" 0.418917058257017 304
"7" 0.412803243272028 334
"8" 0.431820873180411 365
"9" 0.369885469169053 396
"10" 0.410766739469523 425
"11" 0.403284162244892 456
"12" 0.435573458981803 486
"13" 0.472165637577216 517
"14" 0.456737078137063 547
"15" 0.472002781418447 578
"16" 0.467162947090152 609
"17" 0.445066282121737 639
"18" 0.423417768431037 670
"19" 0.418979450229972 700
"20" 0.373292873512253 731
"21" 0.350735735111244 762
"22" 0.383990231979405 790
"23" 0.40810076939503 821
"24" 0.402999182762833 851
"25" 0.472027955499293 882
"26" 0.481102411520448 912
"27" 0.499244832079404 943
"28" 0.476526956672951 974
"29" 0.463679620811414 1004
"30" 0.423662277805288 1035
"31" 0.377366859223847 1065
"32" 0.376885912235732 1096
"33" 0.369749184126916 1127
"34" 0.372302793982305 1155
"35" 0.45033116557039 1186
"36" 0.43738111030553 1216
"37" 0.46346335455245 1247
"38" 0.449482920976498 1277
"39" 0.438742735173438 1308
"40" 0.467181353903719 1339
"41" 0.453443354086805 1369
"42" 0.495497494777557 1400
"43" 0.491048337178235 1430
"44" 0.455152863753643 1461
"45" 0.435878467054584 1492
"46" 0.407230809421106 1520
"47" 0.435534910671423 1551
"48" 0.45792958058291 1581
"49" 0.512266647322521 1612
"50" 0.531450525072596 1642
"51" 0.550509022678063 1673
"52" 0.523260269884136 1704
"53" 0.535744396533791 1734
"54" 0.5278745166365 1765
"55" 0.505849920715085 1795
"56" 0.507389051010117 1826
"57" 0.48723609516594 1857
"58" 0.481222626815786 1886
"59" 0.501956828691305 1917
"60" 0.526667748800157 1947
"61" 0.534058156447452 1978
"62" 0.556785394308721 2008
"63" 0.580801379709749 2039
"64" 0.592523924926649 2070
"65" 0.595971338288883 2100
"66" 0.573089394859622 2131
"67" 0.532718095866431 2161
"68" 0.507302959674938 2192
"69" 0.463461649573685 2223
"70" 0.454553513510901 2251
"71" 0.439582396729772 2282
"72" 0.446932436288293 2312
"73" 0.439074009156231 2343
"74" 0.433028682175167 2373
"75" 0.455058643877544 2404
"76" 0.45599711225338 2435
"77" 0.447032974107536 2465
"78" 0.438765512813021 2496
"79" 0.460753495512766 2526
"80" 0.431199817930614 2557
"81" 0.421428446434629 2588
"82" 0.420796504579841 2616
"83" 0.451464316169736 2647
"84" 0.463685216219952 2677
"85" 0.500726063370568 2708
"86" 0.513940587057091 2738
"87" 0.511107269188058 2769
"88" 0.49628821441789 2800
"89" 0.484973803439904 2830
"90" 0.464791578843831 2861
"91" 0.435710025845791 2891
"92" 0.40007155104926 2922
"93" 0.377976635934579 2953
"94" 0.353623791911733 2981
"95" 0.356383143970969 3012
"96" 0.377969465495974 3042
"97" 0.380303885082383 3073
"98" 0.394895817145398 3103
"99" 0.425842752505938 3134
"100" 0.435946469126117 3165
"101" 0.428309848069894 3195
"102" 0.395419603777281 3226
"103" 0.382055632354309 3256
"104" 0.316037527508597 3287
"105" 0.259668179085568 3318
"106" 0.187671333004502 3347
"107" 0.151002296647543 3378
"108" 0.123751583390516 3408
"109" 0.106320849385405 3439
"110" 0.0919338841618127 3469
"111" 0.0990670948531378 3500
"112" 0.0850334611851028 3531
"113" 0.0833568435186956 3561
"114" 0.0847923845079336 3592
"115" 0.0905948139833789 3622
